bit_width,ops_per_slot_exponent,repeat_idx,ops_per_slot,total_ops,max_load_factor
5,-7,2,1.000000e-07,0,0.855
5,-6,5,1.000000e-06,4,0.845
5,-5,5,1.000000e-05,42,0.840
5,-4,1,1.000000e-04,419,0.850
5,-7,5,1.000000e-07,0,0.845
5,-5,4,1.000000e-05,42,0.845
5,-6,4,1.000000e-06,4,0.845
5,-6,3,1.000000e-06,4,0.845
5,-3,5,1.000000e-03,4194,0.840
5,-3,2,1.000000e-03,4194,0.840
5,-6,1,1.000000e-06,4,0.845
5,-5,3,1.000000e-05,42,0.840
5,-7,3,1.000000e-07,0,0.845
5,-5,2,1.000000e-05,42,0.845
5,-6,2,1.000000e-06,4,0.845
5,-3,4,1.000000e-03,4194,0.845
5,-7,4,1.000000e-07,0,0.840
5,-4,3,1.000000e-04,419,0.850
5,-2,2,1.000000e-02,41943,0.835
5,-2,5,1.000000e-02,41943,0.835
5,-4,5,1.000000e-04,419,0.845
5,-2,3,1.000000e-02,41943,0.835
5,-4,2,1.000000e-04,419,0.850
5,-5,1,1.000000e-05,42,0.840
5,-2,4,1.000000e-02,41943,0.845
5,-3,3,1.000000e-03,4194,0.840
5,-4,4,1.000000e-04,419,0.845
5,-2,1,1.000000e-02,41943,0.835
5,-7,1,1.000000e-07,0,0.835
5,-3,1,1.000000e-03,4194,0.845
5,-1,1,1.000000e-01,419430,0.800
5,-1,3,1.000000e-01,419430,0.800
5,-1,4,1.000000e-01,419430,0.790
5,-1,5,1.000000e-01,419430,0.790
6,-7,3,1.000000e-07,0,0.930
5,-1,2,1.000000e-01,419430,0.785
6,-7,2,1.000000e-07,0,0.925
6,-7,1,1.000000e-07,0,0.925
6,-6,4,1.000000e-06,4,0.930
6,-7,4,1.000000e-07,0,0.925
6,-7,5,1.000000e-07,0,0.925
6,-6,1,1.000000e-06,4,0.925
6,-6,2,1.000000e-06,4,0.925
6,-6,3,1.000000e-06,4,0.925
6,-5,1,1.000000e-05,42,0.925
6,-6,5,1.000000e-06,4,0.925
6,-5,3,1.000000e-05,42,0.925
6,-5,5,1.000000e-05,42,0.925
6,-4,2,1.000000e-04,419,0.925
6,-4,3,1.000000e-04,419,0.925
6,-4,5,1.000000e-04,419,0.925
6,-3,4,1.000000e-03,4194,0.925
6,-5,4,1.000000e-05,42,0.920
6,-4,1,1.000000e-04,419,0.920
6,-3,5,1.000000e-03,4194,0.925
6,-4,4,1.000000e-04,419,0.920
6,-3,1,1.000000e-03,4194,0.920
6,-3,2,1.000000e-03,4194,0.920
6,-5,2,1.000000e-05,42,0.920
6,-2,3,1.000000e-02,41943,0.920
6,-3,3,1.000000e-03,4194,0.915
6,-2,1,1.000000e-02,41943,0.915
6,-2,4,1.000000e-02,41943,0.915
6,-2,2,1.000000e-02,41943,0.910
5,0,5,1.000000e+00,4194300,0.755
5,0,4,1.000000e+00,4194300,0.755
6,-2,5,1.000000e-02,41943,0.920
5,0,3,1.000000e+00,4194300,0.750
